               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078031,           0.0032329,           0.0090061,            0.018976,             0.24917,            0.018923,            0.006969,            0.064894,           0.0016285,           0.0055646,            0.070088,           0.0033236,           0.0033236
                   1,            0.056358,           0.0031037,           0.0049305,             0.16626,             0.12684,            0.046355,            0.019183,            0.061554,           0.0015159,           0.0046488,            0.040071,           0.0066404,           0.0066404
                   2,              0.0548,           0.0029247,           0.0043283,             0.28962,             0.11617,            0.071083,            0.027702,             0.05538,           0.0014548,           0.0037821,            0.010038,           0.0099408,           0.0099408
                   3,            0.053521,           0.0028131,           0.0040246,              0.2065,             0.17233,            0.072113,            0.033123,            0.064941,           0.0014446,           0.0041274,           0.0099258,           0.0099258,           0.0099258
                   4,            0.051038,           0.0028041,            0.003676,               0.295,             0.19559,             0.13766,            0.063001,            0.052187,           0.0015173,           0.0033168,           0.0099258,           0.0099258,           0.0099258
                   5,            0.049972,           0.0027514,           0.0035255,             0.30687,             0.19454,             0.14697,            0.065447,            0.049105,           0.0014773,           0.0032091,            0.009901,            0.009901,            0.009901
                   6,            0.048928,           0.0027051,           0.0034257,             0.49275,             0.21716,             0.18867,            0.086284,            0.046649,           0.0015031,           0.0028823,           0.0098763,           0.0098763,           0.0098763
                   7,            0.048541,           0.0026971,           0.0033402,             0.29992,             0.22201,             0.19318,            0.087557,            0.046931,           0.0014385,           0.0028236,           0.0098515,           0.0098515,           0.0098515
                   8,            0.047527,           0.0026679,           0.0032493,             0.40946,             0.26088,             0.22706,              0.1079,            0.046449,           0.0014288,           0.0026953,           0.0098268,           0.0098268,           0.0098268
                   9,            0.047369,           0.0027122,           0.0030945,             0.27246,             0.18356,             0.12867,            0.058456,            0.054843,           0.0015096,           0.0034265,            0.009802,            0.009802,            0.009802
