               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078344,           0.0032015,           0.0090017,             0.20157,             0.17761,            0.028145,            0.010129,            0.061359,           0.0016663,           0.0055595,            0.070088,           0.0033236,           0.0033236
                   1,            0.057295,           0.0030812,           0.0049712,             0.19476,             0.13874,            0.064832,            0.026783,            0.052984,           0.0016108,           0.0043079,            0.040071,           0.0066404,           0.0066404
                   2,            0.055361,           0.0029021,           0.0044019,             0.17296,             0.12795,            0.053601,            0.022498,            0.059493,           0.0014692,           0.0039124,            0.010038,           0.0099408,           0.0099408
                   3,            0.054497,           0.0028006,           0.0040841,             0.27036,             0.15476,             0.12597,            0.053463,            0.051609,            0.001528,           0.0034983,           0.0099258,           0.0099258,           0.0099258
                   4,            0.051817,           0.0027968,            0.003729,             0.34444,             0.21597,             0.17304,            0.082029,             0.04883,           0.0014721,           0.0031157,           0.0099258,           0.0099258,           0.0099258
                   5,            0.051181,           0.0027406,           0.0035761,             0.38748,             0.21179,             0.16737,            0.074992,            0.048474,             0.00149,           0.0031359,            0.009901,            0.009901,            0.009901
                   6,            0.049849,           0.0027019,           0.0034479,             0.36462,             0.23348,             0.18689,             0.08568,            0.047297,           0.0014513,           0.0028298,           0.0098763,           0.0098763,           0.0098763
                   7,            0.049479,           0.0026922,           0.0033653,             0.30583,             0.22522,             0.20943,            0.096416,              0.0469,           0.0014364,           0.0027277,           0.0098515,           0.0098515,           0.0098515
                   8,            0.048384,           0.0026704,           0.0032662,             0.45188,             0.25375,              0.2317,             0.11027,            0.047622,           0.0014559,           0.0027734,           0.0098268,           0.0098268,           0.0098268
                   9,            0.048436,           0.0027175,           0.0031351,             0.47576,             0.26358,             0.25192,             0.11491,            0.045955,           0.0014273,            0.002613,            0.009802,            0.009802,            0.009802
                  10,            0.047728,           0.0026586,           0.0030725,             0.51769,             0.25807,             0.25829,             0.12429,            0.045681,           0.0014265,           0.0025331,           0.0097773,           0.0097773,           0.0097773
                  11,            0.047498,           0.0026539,           0.0030032,             0.51603,             0.30303,             0.30502,             0.14088,            0.045054,           0.0014036,           0.0023431,           0.0097525,           0.0097525,           0.0097525
                  12,            0.046961,           0.0026397,           0.0029111,             0.50561,             0.28064,             0.28539,             0.13728,            0.045582,           0.0014197,           0.0024193,           0.0097278,           0.0097278,           0.0097278
                  13,            0.046752,           0.0026367,           0.0028829,             0.47012,             0.33375,             0.31049,             0.15251,            0.044657,           0.0013979,           0.0023043,            0.009703,            0.009703,            0.009703
                  14,            0.046496,           0.0026522,           0.0027746,               0.569,             0.33848,             0.32805,             0.15871,            0.045302,           0.0013871,            0.002276,           0.0096783,           0.0096783,           0.0096783
                  15,            0.046328,           0.0026313,           0.0027252,              0.5074,             0.36321,              0.3422,             0.16827,            0.044677,           0.0014111,           0.0021947,           0.0096535,           0.0096535,           0.0096535
                  16,            0.045858,            0.002622,           0.0027114,             0.50036,             0.36186,             0.36129,             0.17188,            0.044365,           0.0014207,           0.0021396,           0.0096288,           0.0096288,           0.0096288
                  17,            0.045628,           0.0026076,           0.0026715,             0.54823,             0.38326,             0.38149,             0.18675,            0.044088,           0.0013853,            0.002078,            0.009604,            0.009604,            0.009604
                  18,            0.045492,           0.0026071,           0.0026248,             0.55207,             0.37037,             0.37337,             0.18043,            0.043728,           0.0013793,           0.0020886,           0.0095793,           0.0095793,           0.0095793
                  19,            0.045318,            0.002603,           0.0026256,             0.48633,             0.36187,             0.33841,             0.17105,            0.044629,           0.0014162,           0.0021467,           0.0095545,           0.0095545,           0.0095545
                  20,            0.045296,           0.0026041,            0.002566,             0.54922,             0.37626,             0.36818,             0.17983,            0.044639,           0.0013849,           0.0020172,           0.0095298,           0.0095298,           0.0095298
                  21,            0.045226,           0.0026366,           0.0025439,             0.54043,              0.3775,             0.38243,             0.18556,            0.044472,           0.0013996,           0.0020028,            0.009505,            0.009505,            0.009505
