               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07713,           0.0032651,           0.0088942,             0.37452,             0.14884,            0.025439,           0.0089676,            0.062271,           0.0016438,           0.0054494,            0.070088,           0.0033236,           0.0033236
                   1,            0.055832,           0.0030889,           0.0048992,             0.18035,             0.14662,            0.065915,            0.027506,            0.058079,           0.0015432,           0.0042706,            0.040071,           0.0066404,           0.0066404
                   2,            0.053849,           0.0028971,           0.0042706,             0.19492,             0.14839,            0.069009,             0.03007,            0.055682,           0.0015901,           0.0037539,            0.010038,           0.0099408,           0.0099408
                   3,            0.052909,           0.0027956,           0.0038973,             0.28748,              0.1206,            0.089195,            0.037579,            0.055504,           0.0014942,           0.0038634,           0.0099258,           0.0099258,           0.0099258
                   4,            0.051044,           0.0027928,           0.0036326,             0.38256,              0.1851,             0.14741,            0.067843,            0.050569,           0.0014807,           0.0032193,           0.0099258,           0.0099258,           0.0099258
                   5,            0.049738,           0.0027267,           0.0034498,             0.30112,             0.20614,             0.17633,             0.08174,             0.04908,           0.0014613,           0.0031506,            0.009901,            0.009901,            0.009901
                   6,            0.048401,           0.0026847,           0.0033313,             0.33731,             0.24817,             0.20781,            0.097196,            0.047124,           0.0014675,            0.002762,           0.0098763,           0.0098763,           0.0098763
                   7,            0.048057,             0.00267,           0.0032736,             0.38312,             0.26663,              0.2302,             0.10918,             0.04579,           0.0014489,           0.0027119,           0.0098515,           0.0098515,           0.0098515
                   8,            0.047211,           0.0026487,           0.0031967,             0.42143,              0.2649,             0.23442,             0.11382,            0.045774,           0.0014384,           0.0026451,           0.0098268,           0.0098268,           0.0098268
                   9,            0.047109,           0.0026914,           0.0030283,             0.37968,             0.27444,             0.24362,             0.11378,            0.046362,           0.0014223,           0.0025639,            0.009802,            0.009802,            0.009802
                  10,            0.046108,           0.0026238,           0.0029098,             0.48164,             0.29505,             0.28593,             0.13325,            0.045226,           0.0014161,           0.0024662,           0.0097773,           0.0097773,           0.0097773
                  11,            0.046274,           0.0026283,           0.0029166,             0.46716,             0.32445,             0.29404,             0.14135,            0.044516,           0.0013885,           0.0023444,           0.0097525,           0.0097525,           0.0097525
                  12,            0.045458,           0.0026107,             0.00279,             0.45339,             0.34527,             0.32023,             0.15296,            0.044284,           0.0013848,           0.0022704,           0.0097278,           0.0097278,           0.0097278
                  13,            0.045305,           0.0025942,           0.0027604,             0.51263,             0.37384,             0.36326,             0.17083,            0.043539,           0.0013776,           0.0021751,            0.009703,            0.009703,            0.009703
                  14,            0.045155,           0.0026137,            0.002653,             0.49119,             0.35093,              0.3377,             0.16826,            0.044656,           0.0013886,           0.0021731,           0.0096783,           0.0096783,           0.0096783
                  15,            0.045084,           0.0026068,           0.0026139,             0.49737,             0.34372,              0.3456,             0.16736,            0.044121,           0.0013839,           0.0022307,           0.0096535,           0.0096535,           0.0096535
                  16,            0.044557,           0.0025933,           0.0026078,             0.50738,             0.38651,             0.37586,             0.18157,            0.043398,           0.0013998,           0.0020951,           0.0096288,           0.0096288,           0.0096288
                  17,            0.044431,           0.0025729,           0.0025328,             0.53008,             0.37763,             0.37481,             0.18593,            0.044141,           0.0013976,           0.0021608,            0.009604,            0.009604,            0.009604
                  18,            0.044367,           0.0025727,           0.0025265,             0.53833,             0.40137,             0.37939,              0.1883,            0.044084,           0.0014109,           0.0021007,           0.0095793,           0.0095793,           0.0095793
                  19,            0.044156,           0.0025738,           0.0024991,             0.56755,             0.37992,             0.37641,             0.18455,            0.043855,             0.00137,           0.0020094,           0.0095545,           0.0095545,           0.0095545
                  20,            0.043952,            0.002569,           0.0024475,             0.56002,             0.41101,             0.40193,             0.19729,            0.043441,           0.0013698,            0.001929,           0.0095298,           0.0095298,           0.0095298
